site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
alt,1994.93629,19941208 1753,304.0,0.6,8.25,0.12,1994-12-08 17:53:00+00:00,2.6818333333333335,227.41716812006894
alt,1995.03206,19950112 1651,352.0,3.7,8.07,0.16,1995-01-12 16:51:00+00:00,1.6744999999999999,331.4002900332323
alt,1995.12817,19950216 1844,294.0,1.4,7.55,0.35,1995-02-16 18:44:00+00:00,1.5073333333333334,275.86904197889453
alt,1995.24594,19950331 1827,207.0,8.4,8.17,0.09,1995-03-31 18:27:00+00:00,3.6140000000000003,192.0
alt,1995.26189,19950406 1410,245.0,0.5,8.01,0.26,1995-04-06 14:10:00+00:00,1.59,328.0
alt,1995.28395,19950414 1524,289.0,1.86,7.95,0.12,1995-04-14 15:24:00+00:00,0.8200000000000001,215.40672469995036
alt,1995.37705,19950518 1457,240.0,0.1,8.23,0.12,1995-05-18 14:57:00+00:00,2.022,236.70046869560716
alt,1995.57188,19950728 1741,340.0,1.6,8.33,0.17,1995-07-28 17:41:00+00:00,1.4515,61.36669889531611
alt,1995.58802,19950803 1502,352.0,1.2,8.21,0.14,1995-08-03 15:02:00+00:00,3.6333333333333333,352.0
alt,1995.61047,19950811 1943,148.0,6.6,8.41,0.03,1995-08-11 19:43:00+00:00,1.5856666666666666,157.13304732907434
alt,1995.62933,19950818 1655,334.0,2.4,8.23,0.14,1995-08-18 16:55:00+00:00,2.3208333333333333,7.43882335775769
alt,1995.65707,19950828 1956,218.0,13.6,8.31,0.11,1995-08-28 19:56:00+00:00,2.4173333333333336,170.93333607111884
alt,1995.66769,19950901 1700,244.0,7.4,8.34,0.13,1995-09-01 17:00:00+00:00,3.64,212.0
alt,1995.85953,19951110 1730,295.0,2.0,8.73,0.17,1995-11-10 17:30:00+00:00,2.1149999999999998,337.0
alt,1995.87869,19951117 1722,179.0,0.6,9.08,0.13,1995-11-17 17:22:00+00:00,2.4793333333333334,284.1993202403276
alt,1995.89793,19951124 1750,257.0,1.9,8.77,0.06,1995-11-24 17:50:00+00:00,1.8666666666666667,294.00101576250967
alt,1995.91423,19951130 1637,193.0,5.0,8.85,0.08,1995-11-30 16:37:00+00:00,3.0621666666666667,238.68237150594442
alt,1995.93631,19951208 1807,205.0,4.7,8.68,0.12,1995-12-08 18:07:00+00:00,3.241833333333333,224.8833373446139
alt,1996.03249,19960112 2123,168.0,1.7,8.78,0.09,1996-01-12 21:23:00+00:00,1.4935,208.08368361803338
alt,1996.07045,19960126 1851,29.0,0.8,8.98,0.13,1996-01-26 18:51:00+00:00,6.769,321.8500045312207
alt,1996.12779,19960216 1829,200.0,0.8,9.05,0.02,1996-02-16 18:29:00+00:00,1.7434999999999998,207.51666708928917
alt,1996.16586,19960301 1655,128.0,0.01,8.88,0.29,1996-03-01 16:55:00+00:00,0.7458333333333332,285.7500872592004
alt,1996.19101,19960310 2150,193.0,2.2,9.24,0.08,1996-03-10 21:50:00+00:00,2.796666666666667,261.8333380342672
alt,1996.26153,19960405 1718,280.0,2.1,8.8,0.11,1996-04-05 17:18:00+00:00,1.5599999999999998,310.0
alt,1996.3192,19960426 1950,210.0,10.4,9.22,0.32,1996-04-26 19:50:00+00:00,4.601666666666667,165.49987306447656
alt,1996.35466,19960509 1920,8.0,1.1,8.85,0.12,1996-05-09 19:20:00+00:00,2.3033333333333337,34.6669074498284
alt,1996.39555,19960524 1831,38.0,3.3,8.96,0.13,1996-05-24 18:31:00+00:00,5.6645,345.5166670892892
alt,1996.43378,19960607 1818,184.0,3.9,9.22,0.13,1996-06-07 18:18:00+00:00,3.08,170.7000042647426
alt,1996.47193,19960621 1727,102.0,4.1,9.2,0.18,1996-06-21 17:27:00+00:00,3.2030000000000003,208.40064458981695
alt,1996.50723,19960704 1533,168.4,5.6,9.24,0.1,1996-07-04 15:33:00+00:00,2.4875,65.75015718626628
alt,1996.52944,19960712 1835,52.0,3.13,9.12,0.16,1996-07-12 18:35:00+00:00,2.269166666666667,103.33227836383908
alt,1996.64385,19960823 1534,191.0,7.0,9.4,0.04,1996-08-23 15:34:00+00:00,5.237,162.43333167105072
alt,1996.66304,19960830 1608,332.0,1.2,9.46,0.1,1996-08-30 16:08:00+00:00,4.454666666666667,358.6001161669318
alt,1996.73951,19960927 1553,282.0,1.2,9.28,0.1,1996-09-27 15:53:00+00:00,2.046,193.76669875725818
alt,1996.77782,19961011 1624,250.0,1.1,9.46,0.1,1996-10-11 16:24:00+00:00,2.376,263.79998050225197
alt,1996.85421,19961108 1524,130.0,0.8,9.63,0.21,1996-11-08 15:24:00+00:00,1.544,263.61005540652144
alt,1996.87333,19961115 1521,338.0,1.4,10.01,0.19,1996-11-15 15:21:00+00:00,3.687,318.3499965348856
alt,1997.04604,19970117 1917,118.0,3.0,9.99,0.06,1997-01-17 19:17:00+00:00,1.6603333333333332,313.5838920454549
alt,1997.10054,19970206 1644,150.0,1.8,9.88,0.39,1997-02-06 16:44:00+00:00,1.4713333333333334,311.2001251193163
alt,1997.15813,19970227 1714,220.0,3.0,9.92,0.11,1997-02-27 17:14:00+00:00,2.988666666666667,228.2333284894557
alt,1997.17984,19970307 1523,96.0,4.2,10.05,0.13,1997-03-07 15:23:00+00:00,3.3586666666666667,283.4668459672607
alt,1997.19673,19970313 1919,269.0,4.4,10.02,0.13,1997-03-13 19:19:00+00:00,3.234166666666667,226.89912914876533
alt,1997.40748,19970529 1731,37.369,0.4911,10.44,0.05,1997-05-29 17:31:00+00:00,1.5655000000000001,343.44998858641526
alt,1997.42963,19970606 1933,179.64,1.373,10.51,0.1,1997-06-06 19:33:00+00:00,1.49,92.20008045762481
alt,1997.46787,19970620 1833,76.401,1.961,10.25,0.28,1997-06-20 18:33:00+00:00,2.353,105.7999195423752
alt,1997.50373,19970703 2043,344.58,1.471,9.97,0.11,1997-07-03 20:43:00+00:00,3.741666666666667,167.30096568706438
alt,1997.98577,19971226 1923,344.42,0.393,10.82,0.0,1997-12-26 19:23:00+00:00,1.8055,244.55204606766955
alt,1998.23456,19980327 1445,241.99,12.937,10.7,0.35,1998-03-27 14:45:00+00:00,3.565,192.99999999999997
alt,1998.27022,19980409 1506,334.36,0.491,10.74,0.03,1998-04-09 15:06:00+00:00,0.977,315.8973349466762
alt,1998.32806,19980430 1746,298.68,2.059,10.94,0.02,1998-04-30 17:46:00+00:00,2.9956666666666667,342.76667151054426
alt,1998.42357,19980604 1427,171.8,3.3,10.92,0.09,1998-06-04 14:27:00+00:00,1.5140000000000002,163.10001005358149
alt,1998.44297,19980611 1627,24.7,0.59,10.94,0.27,1998-06-11 16:27:00+00:00,0.30100000000000005,104.8752857769991
alt,1998.53877,19980716 1535,72.4,3.13,11.45,0.44,1998-07-16 15:35:00+00:00,2.2383333333333333,328.6472849098966
alt,1998.57705,19980730 1457,231.59,13.623,11.03,0.03,1998-07-30 14:57:00+00:00,9.1205,205.95000217038492
alt,1998.59633,19980806 1550,285.82,1.863,11.72,0.01,1998-08-06 15:50:00+00:00,2.6283333333333334,177.84367888992858
alt,1998.61539,19980813 1450,207.0,3.6,11.33,0.07,1998-08-13 14:50:00+00:00,3.5016666666666665,192.66670427528294
alt,1998.6921,19980910 1449,209.09,22.639,11.05,0.15,1998-09-10 14:49:00+00:00,3.7816666666666663,178.36662815137768
alt,1998.71174,19980917 1849,241.6,3.63,11.35,0.06,1998-09-17 18:49:00+00:00,1.2103333333333333,249.81667148090256
alt,1998.73045,19980924 1447,219.2,6.468,11.02,0.03,1998-09-24 14:47:00+00:00,3.2395000000000005,206.64986814538338
alt,1998.74974,19981001 1545,172.77,1.323,11.46,0.25,1998-10-01 15:45:00+00:00,2.13,236.49897121121649
alt,1998.7881,19981015 1547,315.97,2.891,11.48,0.12,1998-10-15 15:47:00+00:00,3.9895,304.86635408784394
alt,1998.80716,19981022 1443,186.8,3.773,11.72,0.11,1998-10-22 14:43:00+00:00,2.4058333333333333,209.43336907447815
alt,1998.84589,19981105 1801,100.7,0.686,11.69,0.08,1998-11-05 18:01:00+00:00,0.318,161.08130572252105
alt,1998.8648,19981112 1537,334.01,0.686,12.02,0.06,1998-11-12 15:37:00+00:00,3.412333333333333,230.08368361803338
alt,1998.90625,19981127 1847,246.14,1.225,11.88,0.25,1998-11-27 18:47:00+00:00,1.589,256.0827227410573
alt,1998.92281,19981203 1950,248.0,10.5,11.99,0.24,1998-12-03 19:50:00+00:00,7.73,217.83333803426714
alt,1998.94439,19981211 1652,20.053,2.989,12.07,0.12,1998-12-11 16:52:00+00:00,5.129333333333334,342.73336775215176
alt,1999.05946,19990122 1651,223.03,6.125,12.23,0.05,1999-01-22 16:51:00+00:00,2.872,234.14999546877928
alt,1999.11697,19990212 1637,201.13,1.323,12.02,0.02,1999-02-12 16:37:00+00:00,1.7191666666666667,296.4668459672607
alt,1999.13344,19990218 1656,269.1,3.695,11.94,0.03,1999-02-18 16:56:00+00:00,3.352,218.73350854145784
alt,1999.17175,19990304 1633,292.83,1.323,12.15,0.04,1999-03-04 16:33:00+00:00,2.661,282.1000100535815
alt,1999.19119,19990311 1850,206.81,14.063,12.06,0.09,1999-03-11 18:50:00+00:00,7.776666666666667,203.83333803426714
alt,1999.21023,19990318 1739,323.6,0.49,12.14,0.08,1999-03-18 17:39:00+00:00,0.9185000000000001,278.0499064221837
alt,1999.32507,19990429 1538,301.65,1.078,11.89,0.19,1999-04-29 15:38:00+00:00,4.066999999999999,357.9000849075157
alt,1999.38274,19990520 1648,349.57,1.029,12.0,0.1,1999-05-20 16:48:00+00:00,2.558,344.199995126053
alt,1999.40189,19990527 1633,354.241,0.686,12.13,0.23,1999-05-27 16:33:00+00:00,2.9,2.0
alt,1999.4785,19990624 1539,352.09,2.646,12.26,0.21,1999-06-24 15:39:00+00:00,3.1845,347.2504334133893
alt,1999.49806,19990701 1859,306.4,2.303,11.9,0.12,1999-07-01 18:59:00+00:00,0.4566666666666667,297.2953277857587
alt,1999.51964,19990709 1603,11.218,3.577,11.82,0.09,1999-07-09 16:03:00+00:00,4.391,356.900017362738
alt,1999.59347,19990805 1448,325.48,2.156,12.11,0.26,1999-08-05 14:48:00+00:00,1.7600000000000002,73.98349874197314
alt,1999.6131,19990812 1843,3.1279,1.568,12.3,0.5,1999-08-12 18:43:00+00:00,4.0888333333333335,5.433369074478143
alt,1999.76652,19991007 1845,256.3,1.568,12.75,0.11,1999-10-07 18:45:00+00:00,1.8525,240.25012853249666
alt,1999.78523,19991014 1439,283.68,0.245,12.57,0.01,1999-10-14 14:39:00+00:00,2.44,234.99999999999994
