site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
brw,2020.007710,20200103 1946,62.400,5.500,22.650,0.030,2020-01-03 19:46:00+00:00,5.970,50.000
brw,2020.027580,20200111 0214,102.600,4.900,22.640,0.010,2020-01-11 02:14:00+00:00,5.016,95.233
brw,2020.056900,20200121 1948,59.300,3.700,22.440,0.050,2020-01-21 19:48:00+00:00,4.366,88.796
brw,2020.084430,20200131 2138,334.700,2.600,22.490,0.040,2020-01-31 21:38:00+00:00,3.500,359.466
brw,2020.100600,20200206 1940,50.600,2.700,22.510,0.100,2020-02-06 19:40:00+00:00,3.797,47.333
brw,2020.119690,20200213 1921,68.400,3.100,22.470,0.050,2020-02-13 19:21:00+00:00,3.424,72.050
brw,2020.139210,20200220 2251,49.000,5.400,22.440,0.030,2020-02-20 22:51:00+00:00,3.704,54.300
brw,2020.161120,20200228 2317,223.500,8.900,22.540,0.060,2020-02-28 23:17:00+00:00,9.480,244.000
brw,2020.180540,20200307 0150,202.100,2.700,22.420,0.050,2020-03-07 01:50:00+00:00,4.272,222.666
brw,2020.191330,20200311 0039,60.200,1.900,22.430,0.010,2020-03-11 00:39:00+00:00,1.250,61.000
brw,2020.210250,20200317 2250,103.900,6.800,22.400,0.030,2020-03-17 22:50:00+00:00,7.468,138.500
brw,2020.237420,20200327 2130,80.200,2.000,22.500,0.020,2020-03-27 21:30:00+00:00,3.045,75.500
brw,2020.251450,20200402 0042,108.400,6.600,22.480,0.070,2020-04-02 00:42:00+00:00,6.176,121.300
brw,2020.275550,20200410 2025,225.000,5.300,22.540,0.010,2020-04-10 20:25:00+00:00,6.642,268.917
brw,2020.287000,20200415 0103,67.800,6.400,22.490,0.020,2020-04-15 01:03:00+00:00,5.426,89.250
brw,2020.313660,20200424 1914,104.500,6.400,22.520,0.030,2020-04-24 19:14:00+00:00,6.367,106.933
brw,2020.324800,20200428 2100,46.400,5.300,22.480,0.010,2020-04-28 21:00:00+00:00,5.020,55.000
brw,2020.352000,20200508 2000,97.300,6.500,22.350,0.000,2020-05-08 20:00:00+00:00,6.660,98.000
brw,2020.368720,20200514 2250,74.400,9.900,22.400,0.060,2020-05-14 22:50:00+00:00,8.067,66.833
brw,2020.390320,20200522 2033,79.700,7.300,22.340,0.020,2020-05-22 20:33:00+00:00,8.337,99.550
brw,2020.409760,20200529 2319,110.600,5.100,22.540,0.140,2020-05-29 23:19:00+00:00,5.480,128.000
brw,2020.426000,20200604 2200,70.200,5.800,22.380,0.000,2020-06-04 22:00:00+00:00,8.100,89.000
brw,2020.442410,20200610 2209,47.200,3.800,22.370,0.050,2020-06-10 22:09:00+00:00,4.625,85.000
brw,2020.458870,20200616 2242,53.500,6.700,22.400,0.040,2020-06-16 22:42:00+00:00,7.067,58.400
brw,2020.483220,20200625 2038,102.700,3.900,22.420,0.010,2020-06-25 20:38:00+00:00,3.895,157.000
brw,2020.502480,20200702 2147,94.100,7.400,22.590,0.030,2020-07-02 21:47:00+00:00,7.588,92.783
brw,2020.516180,20200707 2205,84.400,7.000,22.560,0.090,2020-07-07 22:05:00+00:00,7.425,89.917
brw,2020.543450,20200717 2140,48.900,8.300,22.270,0.010,2020-07-17 21:40:00+00:00,7.440,64.000
brw,2020.562740,20200724 2306,355.800,6.200,22.280,0.040,2020-07-24 23:06:00+00:00,7.030,355.000
brw,2020.581920,20200731 2334,302.100,2.400,22.420,0.000,2020-07-31 23:34:00+00:00,3.280,308.000
brw,2020.597970,20200806 2034,86.600,5.900,22.260,0.060,2020-08-06 20:34:00+00:00,4.817,96.000
brw,2020.636810,20200821 0143,96.700,3.900,22.270,0.040,2020-08-21 01:43:00+00:00,3.841,86.150
brw,2020.652610,20200826 2029,65.400,8.000,22.170,0.040,2020-08-26 20:29:00+00:00,7.881,71.000
brw,2020.666460,20200831 2212,66.200,10.600,22.200,0.010,2020-08-31 22:12:00+00:00,11.746,61.400
brw,2020.688510,20200908 2350,86.800,3.200,22.170,0.040,2020-09-08 23:50:00+00:00,2.830,42.000
brw,2020.704590,20200914 2106,77.700,4.300,22.280,0.020,2020-09-14 21:06:00+00:00,5.458,64.599
brw,2020.754170,20201003 0038,92.200,8.200,22.330,0.050,2020-10-03 00:38:00+00:00,9.464,90.566
brw,2020.772920,20201009 2120,85.500,12.700,22.270,0.010,2020-10-09 21:20:00+00:00,12.913,85.333
brw,2020.791730,20201016 1836,122.800,9.100,22.360,0.020,2020-10-16 18:36:00+00:00,10.228,126.800
brw,2020.813660,20201024 1909,334.800,5.600,22.340,0.050,2020-10-24 19:09:00+00:00,5.545,314.000
brw,2020.830630,20201031 0016,168.000,4.100,22.430,0.020,2020-10-31 00:16:00+00:00,6.262,176.066
brw,2020.849900,20201107 0130,143.800,3.100,22.460,0.070,2020-11-07 01:30:00+00:00,4.365,180.500
brw,2020.858040,20201110 0104,103.300,12.400,22.360,0.010,2020-11-10 01:04:00+00:00,6.239,118.200
brw,2020.884970,20201119 2137,71.900,5.600,22.460,0.050,2020-11-19 21:37:00+00:00,4.614,108.150
brw,2020.906950,20201127 2241,42.200,7.000,22.320,0.070,2020-11-27 22:41:00+00:00,5.256,66.633
brw,2020.917930,20201201 2308,55.600,10.300,22.320,0.050,2020-12-01 23:08:00+00:00,8.940,63.000
brw,2020.945310,20201211 2334,83.400,9.000,22.380,0.050,2020-12-11 23:34:00+00:00,8.130,69.000
brw,2020.964490,20201219 0007,51.200,9.500,22.320,0.060,2020-12-19 00:07:00+00:00,10.239,55.883
brw,2020.977890,20201223 2148,84.500,9.700,22.310,0.020,2020-12-23 21:48:00+00:00,10.410,66.602
brw,2020.999820,20201231 2225,82.200,5.200,22.240,0.030,2020-12-31 22:25:00+00:00,6.100,90.750
brw,2021.022020,20210109 0053,35.000,2.200,22.190,0.010,2021-01-09 00:53:00+00:00,5.859,60.815
brw,2021.035390,20210113 2201,63.000,7.800,22.210,0.040,2021-01-13 22:01:00+00:00,10.750,67.000
brw,2021.060230,20210122 2336,119.000,11.400,22.200,0.060,2021-01-22 23:36:00+00:00,11.030,112.000
brw,2021.078980,20210129 1950,59.900,5.700,22.190,0.000,2021-01-29 19:50:00+00:00,7.015,50.833
brw,2021.089780,20210202 1829,69.200,6.200,22.170,0.090,2021-02-02 18:29:00+00:00,7.618,70.967
brw,2021.106310,20210208 1916,71.800,4.200,22.160,0.030,2021-02-08 19:16:00+00:00,4.017,68.000
brw,2021.136380,20210219 1839,269.100,7.000,22.510,0.090,2021-02-19 18:39:00+00:00,5.873,271.400
brw,2021.144640,20210222 1902,88.900,2.600,22.430,0.160,2021-02-22 19:02:00+00:00,3.199,76.033
brw,2021.174650,20210305 1754,113.100,8.000,22.270,0.030,2021-03-05 17:54:00+00:00,6.311,109.600
brw,2021.194200,20210312 2114,135.200,6.700,22.340,0.080,2021-03-12 21:14:00+00:00,7.707,157.300
brw,2021.202110,20210315 1830,80.000,8.000,22.280,0.120,2021-03-15 18:30:00+00:00,9.615,99.000
brw,2021.226900,20210324 1937,91.500,3.300,22.230,0.000,2021-03-24 19:37:00+00:00,3.144,101.264
brw,2021.240640,20210329 1958,81.000,10.700,22.270,0.000,2021-03-29 19:58:00+00:00,11.326,86.100
brw,2021.270770,20210409 1955,263.700,4.900,22.420,0.090,2021-04-09 19:55:00+00:00,5.408,254.750
brw,2021.278930,20210412 1926,73.100,5.800,22.290,0.100,2021-04-12 19:26:00+00:00,6.403,90.700
brw,2021.309000,20210423 1851,137.500,2.200,22.230,0.030,2021-04-23 18:51:00+00:00,2.441,172.048
brw,2021.317250,20210426 1905,76.000,7.100,22.280,0.030,2021-04-26 19:05:00+00:00,11.112,94.584
brw,2021.347370,20210507 1858,79.000,4.800,22.210,0.020,2021-05-07 18:58:00+00:00,7.736,83.067
