site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
cgo,2020.025130,20200110 0445,0.000,0.000,21.270,0.030,2020-01-10 04:45:00+00:00,7.343,240.252
cgo,2020.054830,20200121 0139,0.000,0.000,21.260,0.010,2020-01-21 01:39:00+00:00,6.179,230.600
cgo,2020.055160,20200121 0433,0.000,0.000,21.240,0.060,2020-01-21 04:33:00+00:00,6.028,235.900
cgo,2020.095620,20200204 2355,190.000,10.800,21.190,0.050,2020-02-04 23:55:00+00:00,4.620,198.000
cgo,2020.134340,20200219 0403,190.000,20.900,21.150,0.030,2020-02-19 04:03:00+00:00,9.658,197.000
cgo,2020.161190,20200228 2351,246.000,10.100,21.160,0.000,2020-02-28 23:51:00+00:00,4.880,259.000
cgo,2020.177830,20200306 0204,191.000,13.700,21.190,0.040,2020-03-06 02:04:00+00:00,7.827,205.067
cgo,2020.178020,20200306 0346,189.000,12.900,21.260,0.000,2020-03-06 03:46:00+00:00,7.818,205.233
cgo,2020.262600,20200406 0241,224.000,9.200,21.190,0.000,2020-04-06 02:41:00+00:00,6.536,224.000
cgo,2020.262930,20200406 0537,201.000,12.500,21.230,0.040,2020-04-06 05:37:00+00:00,6.723,214.467
cgo,2020.292750,20200417 0331,246.000,16.000,21.230,0.030,2020-04-17 03:31:00+00:00,10.982,242.100
cgo,2020.311800,20200424 0250,292.000,15.700,21.220,0.000,2020-04-24 02:50:00+00:00,8.952,270.334
cgo,2020.330740,20200501 0114,209.000,14.900,21.140,0.040,2020-05-01 01:14:00+00:00,5.744,210.672
cgo,2020.330950,20200501 0305,209.000,11.300,21.270,0.020,2020-05-01 03:05:00+00:00,6.679,211.830
cgo,2020.358340,20200511 0340,283.000,11.400,21.100,0.010,2020-05-11 03:40:00+00:00,7.217,273.333
cgo,2020.415750,20200601 0356,197.000,18.600,21.230,0.050,2020-06-01 03:56:00+00:00,8.133,208.926
cgo,2020.415890,20200601 0509,188.000,19.600,21.230,0.010,2020-06-01 05:09:00+00:00,9.255,198.850
cgo,2020.456810,20200616 0439,255.000,19.800,21.280,0.050,2020-06-16 04:39:00+00:00,11.146,248.099
cgo,2020.484020,20200626 0339,235.000,10.200,21.360,0.060,2020-06-26 03:39:00+00:00,6.511,238.050
cgo,2020.503180,20200703 0355,204.000,13.700,21.350,0.000,2020-07-03 03:55:00+00:00,5.567,212.750
cgo,2020.503300,20200703 0501,205.000,13.800,21.210,0.120,2020-07-03 05:01:00+00:00,5.959,206.967
cgo,2020.549400,20200720 0155,236.000,17.500,21.190,0.060,2020-07-20 01:55:00+00:00,9.972,232.167
cgo,2020.590840,20200804 0557,189.000,12.100,21.250,0.010,2020-08-04 05:57:00+00:00,5.094,189.950
cgo,2020.625890,20200817 0149,235.000,7.700,21.270,0.030,2020-08-17 01:49:00+00:00,5.102,238.367
cgo,2020.626020,20200817 0300,225.000,6.600,21.410,0.070,2020-08-17 03:00:00+00:00,4.970,240.000
cgo,2020.645230,20200824 0341,217.000,8.300,21.130,0.100,2020-08-24 03:41:00+00:00,5.901,230.417
cgo,2020.664150,20200831 0155,209.000,10.400,21.180,0.040,2020-08-31 01:55:00+00:00,7.175,224.083
cgo,2020.702540,20200914 0308,256.000,14.900,21.170,0.010,2020-09-14 03:08:00+00:00,9.989,252.000
