site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
hfm,2020.037370,20200114 1615,212.000,6.400,22.880,0.020,2020-01-14 16:15:00+00:00,1.145,129.232
hfm,2020.081360,20200130 1840,231.000,1.300,22.670,0.060,2020-01-30 18:40:00+00:00,1.047,232.667
hfm,2020.097470,20200205 1610,327.000,2.000,22.740,0.020,2020-02-05 16:10:00+00:00,3.543,356.667
hfm,2020.152140,20200225 1625,277.000,0.800,23.490,0.030,2020-02-25 16:25:00+00:00,0.502,179.264
hfm,2020.388720,20200522 0630,247.500,2.000,23.060,0.010,2020-05-22 06:30:00+00:00,3.610,224.000
hfm,2020.460800,20200617 1540,144.000,1.500,23.230,0.010,2020-06-17 15:40:00+00:00,1.447,131.670
hfm,2020.482710,20200625 1605,220.000,6.000,23.070,0.020,2020-06-25 16:05:00+00:00,3.818,238.335
hfm,2020.501710,20200702 1500,288.000,1.100,23.360,0.050,2020-07-02 15:00:00+00:00,2.060,284.000
hfm,2020.561890,20200724 1540,191.000,1.300,23.970,0.010,2020-07-24 15:40:00+00:00,1.250,26.682
hfm,2020.575690,20200729 1650,206.000,1.600,22.890,0.060,2020-07-29 16:50:00+00:00,3.628,220.333
hfm,2020.600450,20200807 1820,123.000,1.600,22.810,0.040,2020-08-07 18:20:00+00:00,1.507,121.993
hfm,2020.618970,20200814 1300,67.000,1.400,23.310,0.060,2020-08-14 13:00:00+00:00,2.730,28.000
hfm,2020.668770,20200901 1830,162.000,2.400,23.150,0.090,2020-09-01 18:30:00+00:00,4.170,156.000
hfm,2020.695680,20200911 1450,342.000,1.800,23.280,0.020,2020-09-11 14:50:00+00:00,4.035,359.833
hfm,2020.712060,20200917 1445,180.000,1.800,24.450,0.010,2020-09-17 14:45:00+00:00,2.485,229.528
hfm,2020.728830,20200923 1800,267.000,1.700,22.910,0.020,2020-09-23 18:00:00+00:00,6.690,305.000
hfm,2020.744920,20200929 1525,210.000,1.700,22.630,0.020,2020-09-29 15:25:00+00:00,3.952,185.083
hfm,2020.805460,20201021 1910,207.000,3.800,23.520,0.030,2020-10-21 19:10:00+00:00,4.703,212.190
hfm,2020.843500,20201104 1720,213.000,2.600,22.810,0.030,2020-11-04 17:20:00+00:00,4.373,198.000
hfm,2020.859670,20201110 1520,219.000,2.200,26.800,0.070,2020-11-10 15:20:00+00:00,3.320,213.333
hfm,2020.884500,20201119 1725,209.000,4.200,23.070,0.080,2020-11-19 17:25:00+00:00,5.652,198.750
hfm,2020.895700,20201123 1950,276.000,3.100,23.450,0.010,2020-11-23 19:50:00+00:00,5.687,300.833
hfm,2020.922620,20201203 1620,244.000,2.500,22.650,0.020,2020-12-03 16:20:00+00:00,4.060,227.000
hfm,2020.941850,20201210 1715,275.000,2.100,22.360,0.010,2020-12-10 17:15:00+00:00,4.475,305.000
hfm,2021.015580,20210106 1630,328.000,3.100,22.570,0.020,2021-01-06 16:30:00+00:00,5.325,335.500
hfm,2021.037580,20210114 1710,260.000,0.800,23.750,0.090,2021-01-14 17:10:00+00:00,1.058,204.282
hfm,2021.056390,20210121 1400,191.000,2.600,22.480,0.020,2021-01-21 14:00:00+00:00,3.320,196.000
hfm,2021.075850,20210128 1625,338.000,2.200,22.760,0.030,2021-01-28 16:25:00+00:00,5.039,334.583
hfm,2021.106130,20210208 1740,282.000,2.600,22.640,0.010,2021-02-08 17:40:00+00:00,2.810,288.333
hfm,2021.130760,20210217 1730,320.000,2.400,22.340,0.000,2021-02-17 17:30:00+00:00,3.530,319.500
hfm,2021.144520,20210222 1800,203.000,1.900,22.920,0.020,2021-02-22 18:00:00+00:00,7.810,190.000
hfm,2021.152750,20210225 1805,290.000,4.000,22.370,0.010,2021-02-25 18:05:00+00:00,6.021,288.083
hfm,2021.171910,20210304 1755,312.000,3.700,22.460,0.070,2021-03-04 17:55:00+00:00,6.261,303.833
hfm,2021.190940,20210311 1640,213.000,3.100,23.170,0.010,2021-03-11 16:40:00+00:00,4.127,200.333
hfm,2021.240280,20210329 1650,282.000,4.700,22.390,0.000,2021-03-29 16:50:00+00:00,9.348,291.500
hfm,2021.297660,20210419 1530,254.000,2.300,22.420,0.020,2021-04-19 15:30:00+00:00,2.335,284.000
hfm,2021.320120,20210427 2017,267.000,6.900,22.610,0.010,2021-04-27 20:17:00+00:00,3.754,277.301
hfm,2021.336330,20210503 1815,220.000,1.900,22.670,0.050,2021-05-03 18:15:00+00:00,2.342,186.717
hfm,2021.358220,20210511 1800,273.000,2.900,22.490,0.040,2021-05-11 18:00:00+00:00,6.480,283.000
hfm,2021.377050,20210518 1500,277.000,2.100,23.160,0.070,2021-05-18 15:00:00+00:00,3.470,282.000
hfm,2021.401710,20210527 1500,262.000,1.700,22.650,0.020,2021-05-27 15:00:00+00:00,4.220,306.000
hfm,2021.418640,20210602 1918,225.000,4.400,22.990,0.010,2021-06-02 19:18:00+00:00,2.966,208.004
hfm,2021.456640,20210616 1610,283.000,1.900,22.480,0.160,2021-06-16 16:10:00+00:00,4.470,322.333
hfm,2021.489700,20210628 1745,217.000,1.800,22.950,0.020,2021-06-28 17:45:00+00:00,4.308,236.753
hfm,2021.539090,20210716 1825,255.000,1.700,22.300,0.030,2021-07-16 18:25:00+00:00,2.860,270.032
hfm,2021.555400,20210722 1715,318.000,1.500,22.300,0.050,2021-07-22 17:15:00+00:00,2.567,316.002
hfm,2021.569210,20210727 1815,262.000,1.700,22.680,0.010,2021-07-27 18:15:00+00:00,3.277,269.000
hfm,2021.588090,20210803 1540,240.000,0.700,22.370,0.040,2021-08-03 15:40:00+00:00,0.797,236.997
hfm,2021.626620,20210817 1710,218.000,1.900,23.620,0.020,2021-08-17 17:10:00+00:00,3.763,214.167
hfm,2021.651000,20210826 1445,259.000,1.300,23.220,0.040,2021-08-26 14:45:00+00:00,1.355,272.247
hfm,2021.664780,20210831 1530,279.000,2.000,22.630,0.030,2021-08-31 15:30:00+00:00,3.255,268.000
