site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
alt,1994.936290,19941208 1753,304.000,0.600,8.250,0.120,1994-12-08 17:53:00+00:00,2.682,227.417
alt,1995.032060,19950112 1651,352.000,3.700,8.070,0.160,1995-01-12 16:51:00+00:00,1.675,331.400
alt,1995.128170,19950216 1844,294.000,1.400,7.550,0.350,1995-02-16 18:44:00+00:00,1.507,275.869
alt,1995.245940,19950331 1827,207.000,8.400,8.170,0.090,1995-03-31 18:27:00+00:00,3.614,192.000
alt,1995.261890,19950406 1410,245.000,0.500,8.010,0.260,1995-04-06 14:10:00+00:00,1.590,328.000
alt,1995.283950,19950414 1524,289.000,1.860,7.950,0.120,1995-04-14 15:24:00+00:00,0.820,215.407
alt,1995.377050,19950518 1457,240.000,0.100,8.230,0.120,1995-05-18 14:57:00+00:00,2.022,236.700
alt,1995.571880,19950728 1741,340.000,1.600,8.330,0.170,1995-07-28 17:41:00+00:00,1.452,61.367
alt,1995.588020,19950803 1502,352.000,1.200,8.210,0.140,1995-08-03 15:02:00+00:00,3.633,352.000
alt,1995.610470,19950811 1943,148.000,6.600,8.410,0.030,1995-08-11 19:43:00+00:00,1.586,157.133
alt,1995.629330,19950818 1655,334.000,2.400,8.230,0.140,1995-08-18 16:55:00+00:00,2.321,7.439
alt,1995.657070,19950828 1956,218.000,13.600,8.310,0.110,1995-08-28 19:56:00+00:00,2.417,170.933
alt,1995.667690,19950901 1700,244.000,7.400,8.340,0.130,1995-09-01 17:00:00+00:00,3.640,212.000
alt,1995.859530,19951110 1730,295.000,2.000,8.730,0.170,1995-11-10 17:30:00+00:00,2.115,337.000
alt,1995.878690,19951117 1722,179.000,0.600,9.080,0.130,1995-11-17 17:22:00+00:00,2.479,284.199
alt,1995.897930,19951124 1750,257.000,1.900,8.770,0.060,1995-11-24 17:50:00+00:00,1.867,294.001
alt,1995.914230,19951130 1637,193.000,5.000,8.850,0.080,1995-11-30 16:37:00+00:00,3.062,238.682
alt,1995.936310,19951208 1807,205.000,4.700,8.680,0.120,1995-12-08 18:07:00+00:00,3.242,224.883
alt,1996.032490,19960112 2123,168.000,1.700,8.780,0.090,1996-01-12 21:23:00+00:00,1.494,208.084
alt,1996.070450,19960126 1851,29.000,0.800,8.980,0.130,1996-01-26 18:51:00+00:00,6.769,321.850
alt,1996.127790,19960216 1829,200.000,0.800,9.050,0.020,1996-02-16 18:29:00+00:00,1.743,207.517
alt,1996.165860,19960301 1655,128.000,0.010,8.880,0.290,1996-03-01 16:55:00+00:00,0.746,285.750
alt,1996.191010,19960310 2150,193.000,2.200,9.240,0.080,1996-03-10 21:50:00+00:00,2.797,261.833
alt,1996.261530,19960405 1718,280.000,2.100,8.800,0.110,1996-04-05 17:18:00+00:00,1.560,310.000
alt,1996.319200,19960426 1950,210.000,10.400,9.220,0.320,1996-04-26 19:50:00+00:00,4.602,165.500
alt,1996.354660,19960509 1920,8.000,1.100,8.850,0.120,1996-05-09 19:20:00+00:00,2.303,34.667
alt,1996.395550,19960524 1831,38.000,3.300,8.960,0.130,1996-05-24 18:31:00+00:00,5.665,345.517
alt,1996.433780,19960607 1818,184.000,3.900,9.220,0.130,1996-06-07 18:18:00+00:00,3.080,170.700
alt,1996.471930,19960621 1727,102.000,4.100,9.200,0.180,1996-06-21 17:27:00+00:00,3.203,208.401
alt,1996.507230,19960704 1533,168.400,5.600,9.240,0.100,1996-07-04 15:33:00+00:00,2.487,65.750
alt,1996.529440,19960712 1835,52.000,3.130,9.120,0.160,1996-07-12 18:35:00+00:00,2.269,103.332
alt,1996.643850,19960823 1534,191.000,7.000,9.400,0.040,1996-08-23 15:34:00+00:00,5.237,162.433
alt,1996.663040,19960830 1608,332.000,1.200,9.460,0.100,1996-08-30 16:08:00+00:00,4.455,358.600
alt,1996.739510,19960927 1553,282.000,1.200,9.280,0.100,1996-09-27 15:53:00+00:00,2.046,193.767
alt,1996.777820,19961011 1624,250.000,1.100,9.460,0.100,1996-10-11 16:24:00+00:00,2.376,263.800
alt,1996.854210,19961108 1524,130.000,0.800,9.630,0.210,1996-11-08 15:24:00+00:00,1.544,263.610
alt,1996.873330,19961115 1521,338.000,1.400,10.010,0.190,1996-11-15 15:21:00+00:00,3.687,318.350
alt,1997.046040,19970117 1917,118.000,3.000,9.990,0.060,1997-01-17 19:17:00+00:00,1.660,313.584
alt,1997.100540,19970206 1644,150.000,1.800,9.880,0.390,1997-02-06 16:44:00+00:00,1.471,311.200
alt,1997.158130,19970227 1714,220.000,3.000,9.920,0.110,1997-02-27 17:14:00+00:00,2.989,228.233
alt,1997.179840,19970307 1523,96.000,4.200,10.050,0.130,1997-03-07 15:23:00+00:00,3.359,283.467
alt,1997.196730,19970313 1919,269.000,4.400,10.020,0.130,1997-03-13 19:19:00+00:00,3.234,226.899
