site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
nwr,2020.037590,20200114 1809,197.000,6.900,22.320,0.010,2020-01-14 18:09:00+00:00,4.633,260.251
nwr,2020.062380,20200123 1959,-12.100,11.500,22.370,0.020,2020-01-23 19:59:00+00:00,6.336,281.950
nwr,2020.075910,20200128 1847,262.000,14.000,22.330,0.020,2020-01-28 18:47:00+00:00,5.007,278.000
nwr,2020.114760,20200212 0005,254.000,15.400,22.390,0.010,2020-02-12 00:05:00+00:00,3.894,280.912
nwr,2020.179610,20200306 1740,220.000,16.000,22.100,0.010,2020-03-06 17:40:00+00:00,6.017,274.333
nwr,2020.190670,20200310 1850,225.800,6.400,22.120,0.070,2020-03-10 18:50:00+00:00,6.485,268.500
nwr,2020.210250,20200317 2252,268.600,5.200,22.170,0.010,2020-03-17 22:52:00+00:00,4.053,288.600
nwr,2020.228800,20200324 1749,223.000,13.000,22.270,0.040,2020-03-24 17:49:00+00:00,7.928,273.000
nwr,2020.248130,20200331 1936,250.000,20.000,22.190,0.000,2020-03-31 19:36:00+00:00,8.338,276.400
nwr,2020.267120,20200407 1823,240.000,15.000,22.120,0.040,2020-04-07 18:23:00+00:00,8.239,273.617
nwr,2020.289430,20200415 2220,237.400,3.840,22.450,0.040,2020-04-15 22:20:00+00:00,4.987,275.333
nwr,2020.305190,20200421 1645,270.000,3.000,22.520,0.060,2020-04-21 16:45:00+00:00,0.742,5.989
nwr,2020.324240,20200428 1610,230.000,16.000,22.440,0.050,2020-04-28 16:10:00+00:00,8.938,274.833
nwr,2020.343420,20200505 1634,240.000,16.000,22.540,0.020,2020-05-05 16:34:00+00:00,5.975,282.133
nwr,2020.362500,20200512 1613,235.000,9.000,21.920,0.070,2020-05-12 16:13:00+00:00,4.440,266.000
nwr,2020.381770,20200519 1727,220.000,10.000,21.970,0.050,2020-05-19 17:27:00+00:00,2.625,189.907
nwr,2020.400700,20200526 1547,270.000,8.000,22.410,0.000,2020-05-26 15:47:00+00:00,5.989,277.567
nwr,2020.419850,20200602 1556,280.000,2.000,21.790,0.010,2020-06-02 15:56:00+00:00,2.091,294.336
nwr,2020.438940,20200609 1540,100.000,20.000,22.730,0.080,2020-06-09 15:40:00+00:00,7.133,289.334
nwr,2020.458200,20200616 1652,250.000,14.000,22.150,0.030,2020-06-16 16:52:00+00:00,5.605,256.867
nwr,2020.477220,20200623 1556,300.000,3.500,22.930,0.320,2020-06-23 15:56:00+00:00,1.989,297.500
nwr,2020.496220,20200630 1448,220.000,17.000,22.380,0.000,2020-06-30 14:48:00+00:00,5.464,278.400
nwr,2020.515430,20200707 1531,250.000,8.000,21.990,0.010,2020-07-07 15:31:00+00:00,3.309,250.933
nwr,2020.534580,20200714 1543,255.000,2.000,21.870,0.020,2020-07-14 15:43:00+00:00,3.391,244.018
nwr,2020.553830,20200721 1649,218.000,3.000,22.100,0.070,2020-07-21 16:49:00+00:00,3.103,267.627
nwr,2020.572900,20200728 1621,240.000,8.000,22.080,0.040,2020-07-28 16:21:00+00:00,4.145,283.099
nwr,2020.591960,20200804 1549,260.000,4.000,22.120,0.030,2020-08-04 15:49:00+00:00,4.427,272.633
nwr,2020.600290,20200807 1655,252.000,15.000,22.010,0.040,2020-08-07 16:55:00+00:00,4.950,275.416
nwr,2020.630100,20200818 1450,300.000,3.000,22.700,0.010,2020-08-18 14:50:00+00:00,1.843,301.667
nwr,2020.655190,20200827 1911,260.000,4.000,21.940,0.010,2020-08-27 19:11:00+00:00,0.615,7.801
nwr,2020.668460,20200901 1546,250.000,16.000,22.330,0.050,2020-09-01 15:46:00+00:00,6.618,278.467
nwr,2020.707160,20200915 1944,273.800,5.020,22.230,0.020,2020-09-15 19:44:00+00:00,2.373,322.401
nwr,2020.726280,20200922 1936,240.000,4.000,22.070,0.010,2020-09-22 19:36:00+00:00,1.424,290.499
nwr,2020.745080,20200929 1648,301.300,7.290,22.240,0.040,2020-09-29 16:48:00+00:00,4.184,282.800
nwr,2020.764170,20201006 1629,250.000,12.000,22.260,0.030,2020-10-06 16:29:00+00:00,5.041,286.583
nwr,2020.783290,20201013 1623,200.000,14.000,22.300,0.060,2020-10-13 16:23:00+00:00,7.751,268.065
nwr,2020.827420,20201029 2004,253.300,20.430,21.910,0.030,2020-10-29 20:04:00+00:00,5.690,280.000
nwr,2020.840680,20201103 1632,240.000,10.000,21.830,0.080,2020-11-03 16:32:00+00:00,2.095,293.199
nwr,2020.860080,20201110 1858,200.000,26.000,22.480,0.080,2020-11-10 18:58:00+00:00,9.825,276.067
nwr,2020.879130,20201117 1815,239.500,6.500,21.850,0.070,2020-11-17 18:15:00+00:00,2.817,276.500
nwr,2020.898400,20201124 1931,160.000,1.000,22.340,0.050,2020-11-24 19:31:00+00:00,1.868,268.067
nwr,2020.922970,20201203 1922,298.300,3.280,22.880,0.110,2020-12-03 19:22:00+00:00,2.385,284.100
nwr,2020.936700,20201208 1956,260.000,14.000,22.080,0.080,2020-12-08 19:56:00+00:00,3.745,285.867
nwr,2020.955670,20201215 1836,289.400,12.500,22.230,0.060,2020-12-15 18:36:00+00:00,6.502,280.600
nwr,2020.974840,20201222 1858,250.000,12.000,22.090,0.100,2020-12-22 18:58:00+00:00,6.929,275.133
nwr,2021.032270,20210112 1843,275.000,14.000,22.010,0.030,2021-01-12 18:43:00+00:00,3.325,286.433
nwr,2021.051780,20210119 2133,290.000,1.000,22.280,0.020,2021-01-19 21:33:00+00:00,2.452,278.300
nwr,2021.076220,20210128 1939,240.000,14.000,21.850,0.070,2021-01-28 19:39:00+00:00,5.375,271.300
nwr,2021.089810,20210202 1844,215.000,14.500,21.840,0.050,2021-02-02 18:44:00+00:00,4.283,278.267
nwr,2021.109020,20210209 1900,222.900,12.490,22.120,0.060,2021-02-09 19:00:00+00:00,9.400,269.000
nwr,2021.128010,20210216 1722,266.400,11.630,22.770,0.070,2021-02-16 17:22:00+00:00,5.586,274.900
nwr,2021.152840,20210225 1855,260.000,10.000,22.250,0.030,2021-02-25 18:55:00+00:00,5.334,272.667
nwr,2021.166430,20210302 1754,275.000,16.000,22.270,0.050,2021-03-02 17:54:00+00:00,4.265,291.100
nwr,2021.204700,20210316 1712,250.000,2.000,22.070,0.080,2021-03-16 17:12:00+00:00,1.526,124.600
nwr,2021.224470,20210323 2220,40.320,6.440,22.350,0.050,2021-03-23 22:20:00+00:00,3.810,79.330
nwr,2021.262660,20210406 2053,270.000,10.000,22.140,0.020,2021-04-06 20:53:00+00:00,6.310,278.534
nwr,2021.281820,20210413 2043,199.200,1.910,22.590,0.050,2021-04-13 20:43:00+00:00,2.041,135.000
nwr,2021.300570,20210420 1702,175.000,4.000,22.370,0.050,2021-04-20 17:02:00+00:00,2.789,290.933
nwr,2021.325170,20210429 1627,350.000,2.000,22.000,0.070,2021-04-29 16:27:00+00:00,1.052,46.769
nwr,2021.344610,20210506 1849,270.000,13.000,22.300,0.020,2021-05-06 18:49:00+00:00,3.375,272.183
nwr,2021.358550,20210511 2056,355.000,2.000,22.160,0.010,2021-05-11 20:56:00+00:00,1.343,224.082
nwr,2021.377330,20210518 1726,260.000,10.000,22.210,0.030,2021-05-18 17:26:00+00:00,3.417,62.867
nwr,2021.396440,20210525 1649,250.000,11.000,22.390,0.190,2021-05-25 16:49:00+00:00,5.137,271.183
nwr,2021.415570,20210601 1623,260.000,8.000,22.390,0.040,2021-06-01 16:23:00+00:00,1.674,321.023
nwr,2021.454330,20210615 1956,300.000,4.000,21.580,0.040,2021-06-15 19:56:00+00:00,2.204,293.534
nwr,2021.473460,20210622 1933,286.700,5.900,22.110,0.010,2021-06-22 19:33:00+00:00,6.782,289.100
